month,nino34_sst_c,wtio_sst_c,setio_sst_c
1981-09,26.34523530424843,27.103989297833607,27.86326005359673
1981-10,26.466189627925395,27.890991386061042,28.255487869001833
1981-11,26.075506116993534,27.81019352649448,28.14998537989586
1981-12,26.184051551391555,27.612884482279554,28.22106259633197
1982-01,26.583489950505992,27.43103321797552,28.12229189063019
1982-02,26.45501303869054,27.956935171719465,27.9225736670711
1982-03,27.034294550126585,28.687726576906563,28.35308524565552
1982-04,27.7826978834967,29.737048655703425,28.931976346756695
1982-05,28.324888598671723,29.70895465683175,28.930804832887844
1982-06,28.318062561928194,28.38973865831371,28.554641663236357
1982-07,27.51672229048059,27.46587718190318,28.068103935516287
1982-08,27.732269417773473,27.150578573774283,27.628205333915787
1982-09,27.987801572712396,27.480378856695314,27.551675480452904
1982-10,28.516115657179053,28.186095435370152,27.61886138275792
1982-11,28.5204403848039,28.355210493343883,28.006570237731886
1982-12,28.873518178368077,28.154183241973392,28.516805050946065
1983-01,28.718639711733086,27.770035466188443,28.582933855570936
1983-02,28.55879401190476,28.23691050453073,29.171694268628727
1983-03,28.477698712523726,28.68618794048557,29.611827371646697
1983-04,28.506390050653728,29.529074132080428,29.735684147692556
1983-05,28.552773718058145,29.402567610579208,29.40855404269798
1983-06,28.123841006862726,28.970995510310626,29.159863980667065
1983-07,26.856840879823057,28.05648404779352,28.319693939473584
1983-08,26.345314389784903,27.54378275696558,27.88976750881015
1983-09,26.267336122549,27.5068561733229,27.83370636860808
1983-10,25.616421255850717,27.980639250258946,27.796518303110062
1983-11,25.378437704248388,28.118112346645788,28.030196995238633
1983-12,25.349103609740748,27.82846616313426,28.315716129104633
1984-01,25.488555799177696,27.366427008866687,28.158992421349794
1984-02,26.51090118627446,27.156556962709022,27.842436082126106
1984-03,26.638173188804505,28.302846388966078,28.418594764652934
1984-04,27.22773723545758,29.33772069955625,28.70024577558991
1984-05,27.125005648007683,28.44031414353196,28.845812560222285
1984-06,26.579492526633953,27.246960428086666,28.471079547629003
1984-07,26.535510214263155,26.736597418344413,28.228243081282788
1984-08,26.290021409234598,26.483127036653414,27.68382959901959
1984-09,26.273170525000047,26.947528425998655,27.72683806995584
1984-10,25.924158003795096,27.53508232500573,27.76195131838014
1984-11,25.383348742810455,27.79215583398594,28.18610018266964
1984-12,25.04063566619219,27.590293783312806,28.13168851945461
1985-01,25.16207321347255,27.44973632758234,28.27266528225925
1985-02,25.726837763305276,27.462055151583048,28.33588181165762
1985-03,26.27219589010117,28.394927728799864,28.627242436864083
1985-04,26.629193265522858,29.29448556512661,28.99485031358132
1985-05,26.73218674762815,28.737859448808848,28.594786950673466
1985-06,26.558959933006566,27.07224985643436,28.369416991262295
1985-07,26.439651343611548,26.80914623487514,28.454694132781192
1985-08,26.20052919370647,26.52283148508347,27.64180207771304
1985-09,25.90163724689538,26.973288070999704,27.521997113875923
1985-10,25.94865881072108,27.228114532548524,27.70740050373785
1985-11,26.17555250310463,27.751318193683186,27.62545670440483
1985-12,25.988119986559095,27.435841362063375,27.92262327083449
1986-01,25.767201746995617,27.23616540783593,27.807271986274095
1986-02,25.857626911589627,27.858548551291967,28.123700459581
1986-03,26.568615054870357,28.49318831939787,28.170766855177575
1986-04,27.2367743499999,29.232458574784815,28.716516962979785
1986-05,27.260127045540745,29.103732033243254,28.847010058587525
1986-06,27.330767543790852,27.70742714695905,28.71993899049123
1986-07,27.2160605501265,26.703813979336644,28.40488471507135
1986-08,27.056602238456644,26.506441458054354,27.611987983134576
1986-09,27.126157791013057,27.04975823544764,27.347271467881555
1986-10,27.243152456356846,27.76467254401698,27.83363265654911
1986-11,27.313925751143834,28.34250879665888,28.047953835548796
1986-12,27.434384966318756,28.002314800313247,28.31859898761032
1987-01,27.482920527830526,27.575552731957497,28.289889208117376
1987-02,27.519988598039163,28.05034164895398,28.580438627125556
1987-03,28.103436290006357,28.662035920883206,29.24566657326477
1987-04,28.23900439656868,29.428737927434046,29.487939746558784
1987-05,28.180264547438295,29.690540025766083,29.57437808800933
1987-06,28.429803664705855,28.04227575045681,28.95679482663182
1987-07,28.32822460736865,27.31510167479232,28.70251664229094
1987-08,28.072946915559786,27.287336196226,28.161867315403175
1987-09,28.04475984101312,27.918844427042604,27.84284515692142
1987-10,27.683399261227102,28.135499886326286,27.715903094556
1987-11,27.604829699346464,28.2248854607152,28.445971463121186
1987-12,27.342593596616194,27.999047667163588,28.526520469690393
1988-01,27.17120376739405,28.109276631217337,28.64513979569555
1988-02,26.8830490708248,28.445565252612518,28.835902015977098
1988-03,27.22258697422514,29.075398438881425,29.24332074124243
1988-04,27.174692734640328,29.682450587313852,29.118005335875957
1988-05,26.40941950173943,28.97090125546257,29.36281792342331
1988-06,25.879864541666652,27.802984808144082,29.02596697712106
1988-07,25.452097885357386,27.13878333796449,28.315228766857576
1988-08,25.368178289057653,27.147352413671136,28.17277945386279
1988-09,25.75404521356215,27.47868316366486,28.118265942055295
1988-10,24.619800529411748,27.89792522797895,28.34531041943133
1988-11,24.468557857189616,27.965944192116847,28.324251118466403
1988-12,24.512706463630703,28.13122434132413,28.242775194321524
1989-01,24.448318009171373,27.42315482355324,28.54726251194508
1989-02,25.163849432422992,27.77057528806364,27.90940148411239
1989-03,25.69686595430109,28.369189481395445,28.597878870859905
1989-04,26.41126601813716,28.921687601148527,28.695881905532662
1989-05,26.925035310404894,28.820587314017157,28.862383990845466
1989-06,26.99083284477124,27.418355938397372,28.900583076877062
1989-07,26.681197362270666,26.983632050925813,28.326140103632696
1989-08,26.12794297533199,26.608993861621244,28.289393707983265
1989-09,26.19534267418293,27.24665993213261,28.181341479259977
1989-10,26.142514084756435,27.682403112132704,28.384638583955187
1989-11,26.128645871895447,27.913174471417385,28.46555108729024
1989-12,26.389904093928,28.06872261095812,28.4522515471606
1990-01,26.396112719955692,27.85603283906332,28.146234777367948
1990-02,26.6866467211134,28.26927883432143,28.90321703795984
1990-03,27.003335376818555,28.79523676964663,28.930678667182303
1990-04,27.709017305065288,29.47195437222664,29.37029357492022
1990-05,27.89361977624927,29.03082117866974,29.439052962298426
1990-06,27.393482362418293,27.566213625685204,28.821095404510054
1990-07,27.23796292520557,27.13966953797958,28.336964240629637
1990-08,26.943289765812807,26.999531917043562,28.094506617216023
1990-09,26.65962807728752,27.341151083268144,28.16270554160095
1990-10,26.887974392473236,27.574883370803576,28.484973222385616
1990-11,26.652491713398742,28.130081493082766,28.27858036810216
1990-12,26.80057260610374,28.0795323717383,28.595134461671407
1991-01,26.84271654917773,27.95159330083101,28.513645418913207
1991-02,26.818315545518196,28.240515829511107,28.62888921741819
1991-03,27.099995303605294,28.82961260009595,29.17627726393195
1991-04,27.857526058986924,30.095385956669247,29.011316444093453
1991-05,28.104657125237313,29.770978199914136,29.020944447470587
1991-06,28.071326940686415,27.985949412685947,28.61416560070495
1991-07,27.72937132637577,26.982202187586825,28.06576899827204
1991-08,27.460041104364326,26.77106055018074,27.950135454405103
1991-09,26.998384104085105,27.479523101018053,27.601558851916334
1991-10,27.352990168089747,27.99363346553166,27.98121289838406
1991-11,27.667691764052343,28.143950926650948,28.072904097045505
1991-12,28.131868267868548,27.939527016444725,28.053335228921853
1992-01,28.238880120335228,27.69796175512162,28.769688014687002
1992-02,28.290514610209527,27.748024518672498,28.616249693541587
1992-03,28.39457181862745,28.41722181524248,29.182234555515848
1992-04,28.811845068464056,29.19012847820417,29.484644550760596
1992-05,28.77770272896895,29.357234496172946,29.77201441071764
1992-06,28.06816397516345,28.029778908901015,29.46735993477284
1992-07,27.38620770777996,27.332155556116817,28.972593688905462
1992-08,26.742100111005744,26.543515497511827,28.29352483067293
1992-09,26.52345775147068,26.894527799530227,28.0859758343111
1992-10,26.170984802656506,27.67010033596891,28.23573714994733
1992-11,26.566341913071827,28.09982124771594,28.251224818520427
1992-12,26.724720397216863,27.78932588981218,28.331260936217433
1993-01,26.647111495888566,27.45099401318615,28.205629832632688
1993-02,26.997976924019593,27.889646213222857,28.51959403928834
1993-03,27.408623813567303,28.402294339050766,28.76470105436627
1993-04,28.10857140915034,28.949964447924835,28.877813060924986
1993-05,28.51553430866542,29.449732437416426,29.001097323945903
1993-06,27.821851595424857,28.11673568258945,28.949207913412526
1993-07,27.457260983238413,27.237650794452772,28.179310065877242
1993-08,26.77697334029083,26.828219465986347,27.899883528578467
1993-09,26.92137293349668,27.052681649699835,27.970808046144413
1993-10,26.882962649114507,27.61682178492938,27.893659155945127
1993-11,26.819040591339792,28.12547752545021,28.515840892140933
1993-12,26.658415968848878,27.82401995604618,28.571311909796545
1994-01,26.505429415559753,27.914537044989338,28.332383460153068
1994-02,26.581329613270395,27.721172782190273,28.420450190657007
1994-03,27.320213833017164,28.517686462727664,28.375959170461222
1994-04,27.846393735784332,29.47842364917785,28.68990346372225
1994-05,27.963135356103773,29.41583105564955,28.76334527414033
1994-06,27.80445110947705,27.76359759853833,28.259367896816425
1994-07,27.226114001106847,27.044600904337297,27.417609632263115
1994-08,27.26830726312459,26.88252850683306,26.725151834963015
1994-09,26.96956081568622,27.082617488906322,26.60898501026292
1994-10,27.322552666666663,28.16365620026776,26.581178406081534
1994-11,27.694861572712483,27.841908901070322,27.7767162791587
1994-12,27.775507241619195,27.63639922196674,28.189337796931483
1995-01,27.267599208886804,27.45778402000665,28.281369806767355
1995-02,27.322681293067273,28.075304620203568,28.03390428426211
1995-03,27.47681878874125,28.62938686942688,28.531848372616764
1995-04,27.848984091176526,29.228633098407677,28.961854295536448
1995-05,27.60934651043644,29.310252810265915,29.10268711607785
1995-06,27.285633598366054,28.099100234925718,28.95381789882328
1995-07,27.016135098671743,27.1812326773941,28.880715092560447
1995-08,26.240307037001916,26.9359474069769,28.243591940013935
1995-09,26.024173073529393,27.262562829548358,27.850029737252534
1995-10,25.73038565433262,27.90716821178668,28.168886137869336
1995-11,25.724724851634004,27.96687867397542,28.669132266064814
1995-12,25.644488488772957,28.057025791295082,28.01471862774037
1996-01,25.660053884092278,27.853747897036925,28.171111841886002
1996-02,25.879428905510455,28.116129614127885,28.221730522983353
1996-03,26.5095333572106,28.73873327102328,28.996297838541434
1996-04,27.27763550767978,29.16914012007312,29.30483336320269
1996-05,27.33554402798853,29.00345946901764,29.336602794324065
1996-06,27.186571183660092,27.766711876794627,28.968894157558832
1996-07,26.88603411337746,26.760463839139085,28.520857057997993
1996-08,26.528791557400382,26.428358400484996,28.378487930155696
1996-09,26.343384071895386,27.056096632732995,28.10496652208049
1996-10,26.1250087914295,27.17396908075871,28.48805103699114
1996-11,26.3149942681372,27.631160532498,28.644409195833617
1996-12,25.960195251106892,27.72471771035949,28.4140601015804
1997-01,25.86855102008236,27.46687852072644,28.170187197601326
1997-02,26.28913767507014,27.5584076518627,27.887858948018117
1997-03,26.82413284171405,28.551426124737844,28.672101043671102
1997-04,27.66181686617632,29.4114072043853,29.25896763751321
1997-05,28.2711542770399,29.076909389445913,29.237500315479778
1997-06,28.531964381372546,28.228617384495006,29.11870147750514
1997-07,28.58369087618609,27.455323868946934,27.749357299316248
1997-08,28.59216929633151,27.15514391087974,27.710268529049582
1997-09,28.604637077287517,27.57009600626475,27.312861214487018
1997-10,28.736539883776057,28.243477757849725,26.861064794979757
1997-11,28.949881230718994,28.801737927434015,27.32675478726033
1997-12,28.758032591872222,28.51457973577193,28.326719254002633
1998-01,28.60206723181539,28.69891580569365,28.87603940213405
1998-02,28.462883846288513,28.977818492001305,29.21314247380857
1998-03,28.399657920619795,29.484078005405948,29.967266056970967
1998-04,28.28214229771241,30.053959018532947,29.99670842959189
1998-05,28.304871792378243,29.892121251926145,29.84630628310109
1998-06,26.81185292875809,28.653772226572606,29.384253471609608
1998-07,25.980032465686264,27.351332962841443,29.18986235101207
1998-08,25.531318190860198,27.05049253542825,28.965920538757146
1998-09,25.602167139542534,27.375799895588727,28.550782188171166
1998-10,25.293887631404182,27.901053022456935,28.910992480787403
1998-11,25.365897023039267,27.86280563821458,28.851661590280504
1998-12,24.76869368864644,27.8795304013944,28.610187691709836
1999-01,24.850419340449022,27.357935685957614,28.51295092128674
1999-02,25.533658081407527,28.067152142297836,28.77586452811597
1999-03,26.256945035894862,28.819870260439057,28.876414296864937
1999-04,26.750144241830036,29.388378647872724,29.116321235787606
1999-05,26.901282154174627,28.575928410841875,28.944805466647566
1999-06,26.563507541176428,27.788447768206712,28.8955497548381
1999-07,26.21091154775463,27.24002187586838,28.42522981785456
1999-08,25.58992552893736,26.89039644327682,28.007388136118532
1999-09,25.66423564150324,27.435070895327637,27.776321547548648
1999-10,25.497306513282773,27.417534342082117,28.007690432115524
1999-11,25.084578756536054,27.99466071521797,28.428598966894587
1999-12,24.89554520619855,28.04549139869147,28.488210973257598
2000-01,24.68912204585702,27.87885457347108,28.39413794355614
2000-02,25.112711219574006,27.91042432425127,28.02126575200862
2000-03,26.03002398513601,28.67727723747692,28.120067719524464
2000-04,26.865734665032594,29.559107961367754,28.73642017561294
2000-05,26.861811872549037,29.175148609391915,28.822683493819337
2000-06,26.96658107434652,27.732144661968096,28.79683565567375
2000-07,26.51694682938018,27.445231262788326,28.315812719655916
2000-08,26.351777442915793,27.313017657311676,28.162623842627394
2000-09,26.175490888398638,27.578386269903458,27.912805597792676
2000-10,25.98585617694501,27.895952004445885,28.243341702015357
2000-11,25.83111776895425,28.356600417645538,28.295441853279982
2000-12,25.497888760910843,27.98122540227849,28.18115152142533
2001-01,25.71571389294751,27.692311415363644,28.079407341586528
2001-02,26.097330476015408,27.972948428235842,28.07960269306024
2001-03,26.79964922359256,29.111233536261796,28.58965180610241
2001-04,27.19687019640522,29.565503001827206,29.069693461790166
2001-05,27.37767942678675,29.523299618561694,29.426385687345242
2001-06,27.51583054101305,28.13451808927176,28.968641188127354
2001-07,27.153899864800735,27.108425695304017,28.982766151321353
2001-08,26.753944758380843,27.062276100740092,28.53901091970951
2001-09,26.50506787924824,27.479494701122455,28.26580209841385
2001-10,26.444642592662944,27.896738929446542,28.253963768019787
2001-11,26.267316465359485,28.195564395719206,28.21949442376935
2001-12,26.041438666508547,28.389398640968015,28.632945889870168
2002-01,26.312728426945025,27.90994710384717,28.569434101586342
2002-02,26.725465937324795,28.01602394003807,28.49508843488838
2002-03,27.126602429791273,28.97764346881551,29.266734669829333
2002-04,27.810664476470553,29.442419263899748,29.537778356029264
2002-05,28.055005712523727,28.934824664662614,29.529766102362107
2002-06,28.300289472222076,28.084225685199765,29.172785125633247
2002-07,27.853821974699564,27.03480738626315,28.70788256538286
2002-08,27.539351370651495,27.007408593730272,28.23447619701877
2002-09,27.583905405718898,27.85539352649438,27.817414721659848
2002-10,27.767625206356804,28.053948670017924,27.64888018327366
2002-11,28.019386060620977,28.26325721743666,27.934626489149444
2002-12,27.917317002213693,28.299974183444082,28.77651809399468
2003-01,27.398042803605396,28.038218758683456,29.006955652444148
2003-02,27.331540545693276,28.52478867882307,28.792008713677212
2003-03,27.695675123339697,29.05875201455019,28.89709320884329
2003-04,27.62281258480391,29.84065679979105,29.54255773695012
2003-05,27.21705924984193,29.604975118094252,29.341597340611862
2003-06,27.311601006535934,28.4843323936309,28.935647637569268
2003-07,27.29058216951299,27.475078131709957,28.153425108810012
2003-08,26.867650267236016,27.098409275772433,27.50212033377888
2003-09,26.898664277451047,27.68775713912819,28.135196269507237
2003-10,27.133346983712695,27.95883396064367,28.11967526271082
2003-11,26.970514137581638,27.981391125032744,28.40475964522698
2003-12,26.92568734345347,27.901288756410004,28.08882176645001
2004-01,26.707919250632603,27.868620102558864,28.637920487088074
2004-02,26.837288349729533,27.99932568249933,28.466862473649808
2004-03,26.987434291745764,28.84072831990305,28.677347134590242
2004-04,27.72266812009808,29.576236439572053,29.70719001701625
2004-05,27.91835474067056,29.017996160355626,29.12669120814609
2004-06,27.65698899754895,27.580722370138336,28.857830856045613
2004-07,27.737916898956275,26.645361002349404,28.31075167421058
2004-08,27.48382337618598,27.10740803799229,28.08133078980326
2004-09,27.379436178921623,27.6400293918037,28.07697155739625
2004-10,27.343586588551528,27.95329102988359,27.992510588783183
2004-11,27.339934445424838,28.175917410597783,28.488425451283586
2004-12,27.208359534155516,28.1062629145932,28.531400166443227
2005-01,27.104336298070777,27.83724035668277,28.694535384814483
2005-02,26.892345640931282,28.22296666293768,29.56522362644743
2005-03,27.444046972485793,28.983814636118034,29.830155896680182
2005-04,27.90518947500005,29.7948564343514,29.418149180973572
2005-05,28.067954217109417,29.759012958799495,29.657758853057402
2005-06,27.87333366078429,28.369709005481415,29.217722848078107
2005-07,27.31837448292217,27.204615707176462,28.944913829539477
2005-08,26.885547496204932,27.195258493950007,28.60753272024116
2005-09,26.57389434950984,27.55087935264944,28.40575303383725
2005-10,26.626074432953786,28.036347033116982,28.615161434851625
2005-11,26.20288376192808,28.20006384755931,28.675480116359765
2005-12,25.7524105333649,27.80904064465589,28.58032173108551
2006-01,25.542895510278214,27.50395614722002,28.312388702040003
2006-02,25.980637454481794,27.777913580937543,28.962321165047857
2006-03,26.48395889437065,28.77298239320992,29.073625431001414
2006-04,27.487388820261412,29.518712712085556,29.07052617813508
2006-05,27.78147577672363,29.420204309495524,29.52835247575051
2006-06,27.762934965849535,28.22292179587579,29.427823012079255
2006-07,27.237875925521905,27.060066233864724,28.498731837331487
2006-08,27.195815128716006,27.254813650946048,27.928392708565013
2006-09,27.248262709477142,27.454795823544863,27.18780797333788
