district_id,cell_row,cell_col,weight
3,10,13,0.011262018364175617
3,10,15,0.29303418528077807
3,10,14,0.39778857128372347
3,11,15,0.2508212929878089
3,11,14,0.0005160089508137306
3,11,16,0.04657792313270021
4,10,15,0.8152523233998809
4,11,15,0.006213701366078103
4,10,16,0.17390948604079282
4,11,16,0.00462448919324818
5,7,10,0.6262650900390451
5,7,9,0.13253015315217523
5,7,11,0.04921374531483272
5,8,10,0.1778526548226727
5,8,9,0.012548863169782836
5,8,11,0.0015894935014914887
6,6,12,0.12137461930861125
6,6,11,0.48305732020116576
6,7,12,0.209284541423791
6,7,11,0.18628351906643198
7,8,13,0.6047552597751193
7,8,12,0.08242953542486461
7,9,13,0.26062697971667553
7,9,12,0.052188225083340416
8,5,11,0.18432334814300427
8,6,12,0.3523379299812367
8,6,11,0.46333872187575903
9,9,15,0.4294585466950841
9,9,14,0.5705414533049159
10,9,15,0.030890068114518693
10,9,14,0.36790755951802656
10,10,15,0.030203541432104714
10,10,14,0.57099883093535
11,9,13,0.1382079912927448
11,9,14,0.391147213280508
11,10,13,0.0625799936045419
11,10,14,0.4080648018222053
12,8,13,0.0026115235766366804
12,9,13,0.9973884764233633
13,9,15,0.2257975621546416
13,10,15,0.7329637416183693
13,10,14,0.0412386962269891
14,8,13,0.11059703056693815
14,8,14,0.044254597647677724
14,9,13,0.46239625896800257
14,9,14,0.3827521128173816
15,8,10,0.8981477848235188
15,8,9,0.0009021169755094438
15,8,11,0.10095009820097182
16,7,11,0.023340379595225145
16,8,10,0.1157702416739546
16,8,11,0.81371559332997
16,9,11,0.04717378540085019
17,9,13,0.8662662820582657
17,10,13,0.1337308242456901
17,9,12,2.8936960442598858e-06
18,8,12,0.04937164804232443
18,9,13,0.3023096260386003
18,9,12,0.6483187259190751
19,11,15,1.1186085605966395e-05
19,11,16,0.9364200831391062
19,12,16,0.06356873077528792
20,8,13,0.06730382859333578
20,8,12,0.6640301374460803
20,8,11,0.14440712040672923
20,9,11,0.01369167977390919
20,9,12,0.11056723377994565
21,7,13,0.12159514874319279
21,8,13,0.014180101755679268
21,7,12,0.7153703409252532
21,8,12,0.1488544085758747
22,6,9,0.0017171898079173132
22,6,11,0.07768935648211509
22,6,10,0.23080413294297603
22,7,10,0.4735164454711798
22,7,9,0.01463200952938939
22,7,11,0.20164086576642234
23,11,17,0.5465895040183227
23,11,16,0.3975930888063973
23,12,17,0.055817407175280005
24,6,12,0.6664490580993016
